Main,Backup,Time_main_before,Time_backup_before,dt_before,coord_before,Time_main_after,Time_backup_after,dt_after,coord_after,improvement
R66,R67,0.2699,0.0857,-0.3842,NO,2.2824066634749602,2.8500569858872504,0.3676503224122902,YES,0.7518503224122901
R7,R6,0.2806,0.0969,-0.38370000000000004,NO,0.8927298914743548,1.342354145834159,0.24962425435980423,YES,0.6333242543598043
R15,R14,0.2676,0.0945,-0.3731,NO,2.232892636399655,2.5039470624336575,0.07105442603400264,YES,0.4441544260340026
R43,R44,0.2732,0.1067,-0.3665,NO,1.6746952594141042,2.4566986415692638,0.5820033821551596,YES,0.9485033821551596
R30,R29,0.242,0.0899,-0.3521,NO,1.6120045848865674,1.977201439477722,0.16519685459115457,YES,0.5172968545911546
R51,R52,0.2664,0.1217,-0.3447,NO,1.440314363762699,1.6760879133802404,0.03577354961754148,YES,0.3804735496175415
R9,R8,0.2566,0.13,-0.3266,NO,1.136861006753871,1.6412421785975837,0.30438117184371277,YES,0.6309811718437128
R45,R46,0.254,0.1562,-0.2978,NO,1.3787975335073805,1.7140699911071489,0.1352724575997683,YES,0.4330724575997683
R34,R8,0.2112,0.1335,-0.2777,NO,1.5023403220718266,1.7472660397258502,0.04492571765402359,YES,0.3226257176540236
R71,R14,0.1676,0.0969,-0.2707,NO,0.9022003570133985,2.64932557839498,1.5471252213815816,YES,1.8178252213815815
R71,R52,0.1676,0.1244,-0.24320000000000003,NO,0.9022003570133985,1.7752845830191806,0.6730842260057821,YES,0.9162842260057822
R34,R46,0.2112,0.1748,-0.2364,NO,1.5023403220718266,2.074302981214913,0.3719626591430866,YES,0.6083626591430866
R31,R30,0.2701,0.2593,-0.21080000000000004,NO,1.6669386663049395,2.1599704932603814,0.2930318269554419,YES,0.5038318269554419
R68,R69,0.2758,0.2685,-0.20729999999999998,NO,2.557855476483463,2.7839955059642016,0.026140029480738736,YES,0.23344002948073872
R73,R32,0.2818,0.2826,-0.1992,NO,1.5458394179015582,1.7852910858822444,0.03945166798068617,YES,0.23865166798068616
R74,R66,0.2838,0.2848,-0.199,NO,1.7095710694530557,2.4128187430482204,0.5032476735951648,YES,0.7022476735951648
R74,R28,0.2838,0.2849,-0.19890000000000002,NO,1.7095710694530557,1.9165090903655042,0.006938020912448495,YES,0.20583802091244852
R32,R31,0.2743,0.2759,-0.19840000000000002,NO,1.6472492076391045,1.840528810250858,-0.006720397388246646,NO,0.19167960261175337
R40,R41,0.3142,0.3174,-0.19679999999999997,NO,2.308528803313546,2.759443595149143,0.2509147918355971,YES,0.4477147918355971
R61,R74,0.2964,0.3002,-0.19619999999999999,NO,1.7129271397100947,1.9451713980823884,0.032244258372293666,YES,0.22844425837229365
R54,R73,0.2863,0.2917,-0.1946,NO,1.4334437998577079,1.6333359819336746,-0.00010781792403330437,NO,0.1944921820759667
R63,R64,0.3113,0.3169,-0.19440000000000002,NO,1.6945530394035513,3.217162592348758,1.3226095529452069,YES,1.5170095529452068
R10,R9,0.2905,0.2965,-0.194,NO,1.3912046805096123,1.8659265143667532,0.27472183385714083,YES,0.46872183385714083
R47,R48,0.3008,0.3071,-0.19370000000000004,NO,2.0907520634881314,2.2960766938322856,0.0053246303441542575,YES,0.1990246303441543
R55,R56,0.3338,0.3406,-0.19319999999999998,NO,1.9407429018208677,2.1886603282376718,0.04791742641680402,YES,0.241117426416804
R48,R72,0.2941,0.3011,-0.193,NO,1.9621833494510474,2.6200679141469214,0.45788456469587396,YES,0.650884564695874
R48,R49,0.2941,0.3011,-0.193,NO,1.9621833494510474,2.31806018254431,0.15587683309326245,YES,0.34887683309326245
R50,R51,0.2724,0.2828,-0.1896,NO,1.3949921345603054,1.604136631642521,0.009144497082215597,YES,0.1987444970822156
R36,R17,0.2786,0.2894,-0.18920000000000003,NO,3.1655537505732316,3.5398901529076365,0.1743364023344049,YES,0.36353640233440493
R26,R25,0.2681,0.2793,-0.18880000000000002,NO,1.4028201852623567,1.765948071758872,0.16312788649651527,YES,0.3519278864965153
R57,R58,0.2858,0.2982,-0.1876,NO,1.8369586460242864,2.092723532566686,0.055764886542399805,YES,0.2433648865423998
R41,R42,0.2931,0.3056,-0.18750000000000006,NO,2.374523405591026,2.593640829777975,0.019117424186948895,YES,0.20661742418694895
R57,R33,0.2858,0.2983,-0.1875,NO,1.8369586460242864,2.3992594057178818,0.3623007596935954,YES,0.5498007596935954
R37,R24,0.2711,0.2843,-0.18680000000000002,NO,1.8412637501289082,2.170328098745192,0.12906434861628385,YES,0.3158643486162839
R53,R54,0.2859,0.3002,-0.18569999999999998,NO,1.4545596125779783,1.600652080340556,-0.05390753223742234,NO,0.13179246776257764
R13,R12,0.2698,0.2842,-0.1856,NO,1.767863161769437,2.4824756676262387,0.5146125058568018,YES,0.7002125058568018
R17,R16,0.2776,0.2922,-0.1854,NO,3.1401833017708483,3.3889682631852907,0.048784961414442385,YES,0.2341849614144424
R4,R3,0.2605,0.2754,-0.18510000000000004,NO,2.6985032133736477,3.3202870025819022,0.4217837892082545,YES,0.6068837892082546
R15,R34,0.2676,0.2833,-0.18430000000000002,NO,2.232892636399655,2.757085716282254,0.3241930798825991,YES,0.5084930798825991
R65,R37,0.2715,0.2874,-0.18410000000000004,NO,2.18744169190461,2.43805949470485,0.05061780280024014,YES,0.23471780280024018
R65,R66,0.2715,0.2876,-0.1839,NO,2.18744169190461,2.437752851449225,0.050311159544615236,YES,0.23421115954461524
R51,R34,0.2664,0.2833,-0.18310000000000004,NO,1.440314363762699,2.757085716282254,1.116771352519555,YES,1.299871352519555
R3,R2,0.2554,0.2731,-0.18230000000000002,NO,2.735567860544014,3.5807524115192164,0.6451845509752026,YES,0.8274845509752026
R25,R5,0.2712,0.2896,-0.18159999999999998,NO,1.6132116546045412,2.4558465792445316,0.6426349246399905,YES,0.8242349246399905
R25,R43,0.2712,0.2898,-0.1814,NO,1.6132116546045412,1.9609564668814086,0.14774481227686737,YES,0.32914481227686737
R64,R65,0.2766,0.299,-0.17760000000000004,NO,2.3131073857656714,2.5695821095926137,0.05647472382694224,YES,0.23407472382694228
R22,R2,0.2513,0.2742,-0.17710000000000004,NO,2.750018902997999,3.6531609097922058,0.7031420067942069,YES,0.8802420067942069
R42,R43,0.2696,0.2925,-0.17710000000000004,NO,1.6947584755171952,2.013693579212023,0.11893510369482801,YES,0.29603510369482805
R16,R15,0.2627,0.2863,-0.1764,NO,2.2888710948266784,2.4985209562903754,0.009649861463697007,YES,0.186049861463697
R69,R36,0.2626,0.2865,-0.17610000000000003,NO,2.6449912631551182,3.4428744665957285,0.5978832034406103,YES,0.7739832034406103
R42,R62,0.2696,0.2943,-0.1753,NO,1.6947584755171952,1.8920025469716115,-0.0027559285455836524,NO,0.17254407145441636
R5,R4,0.2545,0.2809,-0.17360000000000003,NO,1.2666698522312412,3.530602692858522,2.063932840627281,YES,2.237532840627281
R27,R26,0.2547,0.2815,-0.17320000000000002,NO,1.3383373489088675,1.5265065106265079,-0.01183083828235959,NO,0.16136916171764043
R24,R23,0.2569,0.2845,-0.17240000000000005,NO,1.4384114378344457,6.977835520854675,5.339424083020229,YES,5.511824083020229
R28,R27,0.2606,0.2905,-0.17010000000000003,NO,1.5570409976823485,1.7706605657972139,0.013619568114865366,YES,0.1837195681148654
R18,R1,0.2453,0.2753,-0.17,NO,1.4326747929894175,2.94480129832955,1.3121265053401325,YES,1.4821265053401325
R12,R11,0.2458,0.2761,-0.1697,NO,1.2594740493086243,1.523846803905807,0.06437275459718278,YES,0.23407275459718277
R58,R35,0.2675,0.2984,-0.16910000000000003,NO,1.5041103611001383,2.257350436258968,0.5532400751588296,YES,0.7223400751588296
R60,R61,0.2978,0.3293,-0.16850000000000004,NO,1.775296755053535,2.151104006009379,0.17580725095584387,YES,0.3443072509558439
R72,R21,0.2489,0.282,-0.16690000000000005,NO,1.6673186948244512,2.171394571902913,0.3040758770784617,YES,0.4709758770784617
R20,R19,0.2546,0.2883,-0.1663,NO,1.198183873187813,3.899415187095802,2.5012313139079887,YES,2.667531313907989
R2,R1,0.2409,0.2769,-0.16400000000000003,NO,2.171257066761299,3.003677411276769,0.6324203445154699,YES,0.79642034451547
R23,R22,0.2445,0.2814,-0.16310000000000002,NO,3.622599993448944,4.509588639243844,0.6869886457948995,YES,0.8500886457948995
R11,R10,0.2587,0.2975,-0.1612,NO,1.3584377967514139,1.5717513153362335,0.013313518584819606,YES,0.17451351858481962
R70,R20,0.2375,0.2764,-0.16110000000000002,NO,1.2581322330140785,1.7510357095337328,0.29290347651965426,YES,0.4540034765196543
R19,R18,0.2243,0.2687,-0.15560000000000002,NO,2.101056581649483,2.427250001437834,0.12619341978835114,YES,0.28179341978835115
R49,R50,0.2485,0.2934,-0.15510000000000002,NO,1.6505164194760253,2.013688824009417,0.1631724045333915,YES,0.3182724045333915
R56,R57,0.2546,0.3047,-0.14989999999999998,NO,1.490816825381143,2.0860739219885662,0.3952570966074233,YES,0.5451570966074233
R62,R63,0.2739,0.3263,-0.1476,NO,1.6723893037597668,1.8883553361370065,0.015966032377239647,YES,0.16356603237723966
R21,R20,0.2142,0.2724,-0.14180000000000004,NO,1.327515463200989,1.6221507280015923,0.09463526480060341,YES,0.23643526480060345
R45,R71,0.254,0.3131,-0.14090000000000003,NO,1.3787975335073805,2.5496203047858597,0.9708227712784792,YES,1.1117227712784792
R12,R72,0.2458,0.3066,-0.13920000000000002,NO,1.2594740493086243,2.752929423819756,1.293455374511132,YES,1.432655374511132
R39,R40,0.2924,0.3654,-0.127,NO,1.119201369307774,3.1636456097240138,1.8444442404162398,YES,1.9714442404162398
R39,R59,0.2924,0.3655,-0.1269,NO,1.119201369307774,3.635086373469505,2.3158850041617307,YES,2.4427850041617307
R9,R71,0.2566,0.3351,-0.1215,NO,1.136861006753871,2.9575935140433223,1.6207325072894514,YES,1.7422325072894513
R70,R58,0.2375,0.3171,-0.12040000000000001,NO,1.2581322330140785,2.6255373137544016,1.1674050807403231,YES,1.2878050807403232
R33,R7,0.2354,0.315,-0.12040000000000001,NO,0.9385463751959368,1.5191493776927278,0.3806030024967911,YES,0.5010030024967911
R33,R45,0.2354,0.3152,-0.12020000000000003,NO,0.9385463751959368,2.388087497332853,1.2495411221369166,YES,1.3697411221369167
R21,R33,0.2142,0.3026,-0.11160000000000003,NO,1.327515463200989,2.615679549049944,1.088164085848955,YES,1.199764085848955
R35,R11,0.246,0.3428,-0.10320000000000001,NO,1.7416414538839657,2.3602955498992833,0.4186540960153175,YES,0.5218540960153175
R59,R60,0.2482,0.3645,-0.08370000000000002,NO,2.2234455992858586,2.4369718829819864,0.013526283696127794,YES,0.09722628369612782
R22,R40,0.2513,0.3745,-0.07680000000000003,NO,2.750018902997999,3.3470778060834894,0.39705890308549047,YES,0.4738589030854905
R3,R59,0.2554,0.3951,-0.06030000000000002,NO,2.735567860544014,4.042102825376907,1.1065349648328933,YES,1.1668349648328933
R35,R49,0.246,0.3878,-0.05820000000000003,NO,1.7416414538839657,4.044785078059908,2.1031436241759423,YES,2.1613436241759425
R18,R39,0.2453,0.4188,-0.026499999999999996,NO,1.4326747929894175,1.725174951799819,0.09250015881040147,YES,0.11900015881040146
R38,R55,0.1989,0.3989,-2.7755575615628914e-17,NO,1.0637111123163487,2.8886265423398036,1.624915430023455,YES,1.624915430023455
R38,R39,0.1989,0.3989,-2.7755575615628914e-17,NO,1.0637111123163487,1.6237728200158175,0.3600617076994687,YES,0.36006170769946877
R29,R28,0.0849,0.2849,-2.7755575615628914e-17,NO,1.7327643485003976,1.9165090903655042,-0.016255258134893424,NO,-0.016255258134893397
R8,R70,0.1073,0.3073,0.0,YES,1.0976586028186281,2.780250137272059,1.482591534453431,YES,1.482591534453431
R6,R5,0.0904,0.2904,0.0,YES,1.0342709594168495,2.5034534446204617,1.2691824852036122,YES,1.2691824852036122
R46,R47,0.1143,0.3143,0.0,YES,1.0711311129739585,2.2718179164557437,1.0006868034817853,YES,1.0006868034817853
R6,R62,0.0904,0.2904,0.0,YES,1.0342709594168495,1.84841405783568,0.6141430984188305,YES,0.6141430984188305
R44,R45,0.0989,0.2989,0.0,YES,1.7543822212848363,2.0492002524196686,0.09481803113483228,YES,0.09481803113483228
R67,R68,0.0812,0.2812,0.0,YES,2.388428020604954,2.6807897492169257,0.09236172861197173,YES,0.09236172861197173
R8,R7,0.1073,0.3073,0.0,YES,1.0976586028186281,1.328246528739769,0.030587925921140735,YES,0.030587925921140735
R52,R53,0.1151,0.3151,0.0,YES,1.4565473014104116,1.6693273838634217,0.012780082453010155,YES,0.012780082453010155
R14,R13,0.0883,0.2883,0.0,YES,2.1671115097704994,2.3774832940975066,0.010371784327007194,YES,0.010371784327007194
R29,R37,0.0849,0.2862,0.0012999999999999956,YES,1.7327643485003976,2.3845850032293745,0.45182065472897687,YES,0.45052065472897684
R44,R70,0.0989,0.3031,0.0041999999999999815,YES,1.7543822212848363,2.6319878005917348,0.6776055793068985,YES,0.6734055793068985
R2,R55,0.2409,0.4489,0.008000000000000007,YES,2.171257066761299,4.004782718780404,1.6335256520191048,YES,1.6255256520191048
