Escenario,Total Pares V치lidos,Pares Coordinados,Pares Descoordinados,Porcentaje Coordinaci칩n,TMT,Calidad,M치xima Descoordinaci칩n
scenario_1,100,0,100,0.0,0.0,POOR,0.0
scenario_10,100,0,100,0.0,0.0,POOR,0.0
scenario_11,100,0,100,0.0,0.0,POOR,0.0
scenario_12,100,0,100,0.0,0.0,POOR,0.0
scenario_13,100,0,100,0.0,0.0,POOR,0.0
scenario_14,100,0,100,0.0,0.0,POOR,0.0
scenario_15,100,0,100,0.0,0.0,POOR,0.0
scenario_16,100,0,100,0.0,0.0,POOR,0.0
scenario_17,100,0,100,0.0,0.0,POOR,0.0
scenario_18,100,0,100,0.0,0.0,POOR,0.0
scenario_19,100,0,100,0.0,0.0,POOR,0.0
scenario_2,100,0,100,0.0,0.0,POOR,0.0
scenario_20,100,0,100,0.0,0.0,POOR,0.0
scenario_21,100,0,100,0.0,0.0,POOR,0.0
scenario_22,100,0,100,0.0,0.0,POOR,0.0
scenario_23,100,0,100,0.0,0.0,POOR,0.0
scenario_24,100,0,100,0.0,0.0,POOR,0.0
scenario_25,100,0,100,0.0,0.0,POOR,0.0
scenario_26,100,0,100,0.0,0.0,POOR,0.0
scenario_27,100,0,100,0.0,0.0,POOR,0.0
scenario_28,100,0,100,0.0,0.0,POOR,0.0
scenario_29,100,0,100,0.0,0.0,POOR,0.0
scenario_3,100,0,100,0.0,0.0,POOR,0.0
scenario_30,100,0,100,0.0,0.0,POOR,0.0
scenario_31,100,0,100,0.0,0.0,POOR,0.0
scenario_32,100,0,100,0.0,0.0,POOR,0.0
scenario_33,100,0,100,0.0,0.0,POOR,0.0
scenario_34,100,0,100,0.0,0.0,POOR,0.0
scenario_35,100,0,100,0.0,0.0,POOR,0.0
scenario_36,100,0,100,0.0,0.0,POOR,0.0
scenario_37,100,0,100,0.0,0.0,POOR,0.0
scenario_38,100,0,100,0.0,0.0,POOR,0.0
scenario_39,100,0,100,0.0,0.0,POOR,0.0
scenario_4,100,0,100,0.0,0.0,POOR,0.0
scenario_40,100,0,100,0.0,0.0,POOR,0.0
scenario_41,100,0,100,0.0,0.0,POOR,0.0
scenario_42,100,0,100,0.0,0.0,POOR,0.0
scenario_43,100,0,100,0.0,0.0,POOR,0.0
scenario_44,100,0,100,0.0,0.0,POOR,0.0
scenario_45,100,0,100,0.0,0.0,POOR,0.0
scenario_46,100,0,100,0.0,0.0,POOR,0.0
scenario_47,100,0,100,0.0,0.0,POOR,0.0
scenario_48,100,0,100,0.0,0.0,POOR,0.0
scenario_49,100,0,100,0.0,0.0,POOR,0.0
scenario_5,100,0,100,0.0,0.0,POOR,0.0
scenario_50,100,0,100,0.0,0.0,POOR,0.0
scenario_51,100,0,100,0.0,0.0,POOR,0.0
scenario_52,100,0,100,0.0,0.0,POOR,0.0
scenario_53,100,0,100,0.0,0.0,POOR,0.0
scenario_54,100,0,100,0.0,0.0,POOR,0.0
scenario_55,100,0,100,0.0,0.0,POOR,0.0
scenario_56,100,0,100,0.0,0.0,POOR,0.0
scenario_57,100,0,100,0.0,0.0,POOR,0.0
scenario_58,100,0,100,0.0,0.0,POOR,0.0
scenario_59,100,0,100,0.0,0.0,POOR,0.0
scenario_6,100,0,100,0.0,0.0,POOR,0.0
scenario_60,100,0,100,0.0,0.0,POOR,0.0
scenario_61,100,0,100,0.0,0.0,POOR,0.0
scenario_62,100,0,100,0.0,0.0,POOR,0.0
scenario_63,100,0,100,0.0,0.0,POOR,0.0
scenario_64,100,0,100,0.0,0.0,POOR,0.0
scenario_65,100,0,100,0.0,0.0,POOR,0.0
scenario_66,100,0,100,0.0,0.0,POOR,0.0
scenario_67,100,0,100,0.0,0.0,POOR,0.0
scenario_68,100,0,100,0.0,0.0,POOR,0.0
scenario_7,100,0,100,0.0,0.0,POOR,0.0
scenario_8,100,0,100,0.0,0.0,POOR,0.0
scenario_9,100,0,100,0.0,0.0,POOR,0.0
