Escenario,TMT,TMT_Magnitude,Coordinación (%),Total Pares,Mean_DT,Std_DT,Min_DT,Max_DT
scenario_1,-15.854300000000002,15.854300000000002,12.0,100,-0.15840800000000002,0.09140289894746227,-0.3842,0.008000000000000007
scenario_10,-19.2274,19.2274,14.000000000000002,100,-0.177297,0.21404423489316407,-1.2926,0.9390000000000001
scenario_11,-17.8127,17.8127,12.0,100,-0.091148,0.8066428589506014,-0.5017,7.8137
scenario_12,-18.1171,18.1171,11.0,100,-0.15992800000000001,0.20799673510899155,-0.509,1.3395
scenario_13,-18.4497,18.4497,13.0,100,-0.171677,0.22711197804387157,-1.8092,0.3301
scenario_14,-45.6815,45.6815,14.000000000000002,100,-0.307898,2.221547931870028,-14.3065,13.9204
scenario_15,-32.1528,32.1528,14.000000000000002,100,-0.24904900000000002,1.1097472333369434,-7.3756,6.6438
scenario_16,-23.6468,23.6468,11.0,100,-0.20308,0.48998486058244695,-3.2035,2.8254999999999995
scenario_17,-17.773400000000002,17.773400000000002,13.0,100,-0.026339000000000015,1.3900371235974238,-0.4955,13.7026
scenario_18,-18.325100000000003,18.325100000000003,10.0,100,-0.162044,0.21591205724553691,-0.4991,1.4976000000000003
scenario_19,-18.061100000000003,18.061100000000003,13.0,100,-0.15133000000000002,0.2766295105371081,-0.5032000000000001,2.2249999999999996
scenario_2,-18.962400000000002,18.962400000000002,12.0,100,-0.179323,0.17632417182848187,-0.9822,0.6373
scenario_20,-18.2316,18.2316,11.0,100,-0.033771,1.4229198895436805,-0.5058,14.049700000000001
scenario_21,-15.9922,15.9922,12.0,100,-0.159693,0.09281728638028587,-0.4031,0.01639999999999997
scenario_22,-15.895000000000001,15.895000000000001,12.0,100,-0.15882800000000002,0.09216164937760175,-0.3877,0.006200000000000011
scenario_23,-15.6903,15.6903,10.0,100,-0.15641800000000003,0.09266726107962833,-0.38780000000000003,0.03269999999999998
scenario_24,-15.589500000000001,15.589500000000001,15.0,100,-0.15477400000000002,0.09391814800133146,-0.3925,0.0688999999999999
scenario_25,-15.6964,15.6964,12.0,100,-0.156951,0.09218356197826161,-0.39880000000000004,0.0012999999999999678
scenario_26,-15.8085,15.8085,7.000000000000001,100,-0.158053,0.09198032121600794,-0.41250000000000003,0.0031000000000000194
scenario_27,-15.876900000000001,15.876900000000001,13.0,100,-0.158466,0.09155469318391057,-0.384,0.01579999999999998
scenario_28,-15.843200000000001,15.843200000000001,12.0,100,-0.158034,0.09174457937120863,-0.3836,0.0194
scenario_29,-15.726500000000001,15.726500000000001,15.0,100,-0.156645,0.09487467562526894,-0.4079,0.020199999999999996
scenario_3,-17.8215,17.8215,13.0,100,-0.161816,0.17527870761732584,-0.5105999999999999,0.8522999999999998
scenario_30,-15.6882,15.6882,9.0,100,-0.15665700000000002,0.0933473376749439,-0.3916,0.007800000000000001
scenario_31,-15.866800000000001,15.866800000000001,11.0,100,-0.158298,0.09389766342140789,-0.4084,0.019199999999999967
scenario_32,-15.8046,15.8046,11.0,100,-0.15797200000000003,0.09249095748233986,-0.3944,0.004799999999999971
scenario_33,-15.541,15.541,12.0,100,-0.15352500000000002,0.09592057274120083,-0.3954,0.10890000000000005
scenario_34,-15.668000000000001,15.668000000000001,11.0,100,-0.155569,0.09405989973947453,-0.3871,0.061899999999999955
scenario_35,-15.567200000000001,15.567200000000001,11.0,100,-0.15431300000000003,0.09458121130013085,-0.3951,0.07480000000000003
scenario_36,-15.695100000000002,15.695100000000002,10.0,100,-0.156092,0.09350114831380416,-0.3854,0.05439999999999995
scenario_37,-19.9642,19.9642,10.0,100,-0.185236,0.21260078058182194,-1.2346,0.827
scenario_38,-19.4904,19.4904,8.0,100,-0.183248,0.1885715871917082,-1.0536,0.6593
scenario_39,-17.966900000000003,17.966900000000003,13.0,100,-0.12664300000000003,0.49046807159182126,-0.509,4.542999999999999
scenario_4,-15.230500000000001,15.230500000000001,13.0,100,-0.149181,0.10038663824932081,-0.3842,0.18169999999999992
scenario_40,-17.84,17.84,13.0,100,-0.163417,0.17188164477628204,-0.5065,0.8575000000000002
scenario_41,-18.7637,18.7637,14.000000000000002,100,-0.169357,0.2007013314629477,-1.0364,0.6842999999999999
scenario_42,-17.7312,17.7312,16.0,100,-0.114915,0.5422682484481274,-0.5172,5.0508
scenario_43,-17.521800000000002,17.521800000000002,13.0,100,-0.156749,0.18294519315631116,-0.5053000000000001,1.0525000000000002
scenario_44,-17.6427,17.6427,10.0,100,-0.16913,0.1351357084563514,-0.49820000000000003,0.3131
scenario_45,-22.8568,22.8568,13.0,100,-0.190227,0.42953944541916056,-2.701,2.2168
scenario_46,-21.050700000000003,21.050700000000003,12.0,100,-0.18235700000000002,0.31266844908145114,-1.9174,1.4699000000000002
scenario_47,-20.794800000000002,20.794800000000002,12.0,100,-0.185549,0.27738012924324623,-1.6867999999999999,1.2523
scenario_48,-19.9803,19.9803,10.0,100,-0.18215199999999998,0.2299552380268821,-1.3547,0.9393
scenario_49,-17.756400000000003,17.756400000000003,11.0,100,-0.15096500000000002,0.24932145851290055,-0.493,1.9427999999999999
scenario_5,-24.9475,24.9475,13.0,100,-0.21404900000000002,0.5558390480157003,-3.7164,3.1734999999999998
scenario_50,-17.785600000000002,17.785600000000002,9.0,100,-0.14583800000000002,0.2785074554765096,-0.4963,2.2216
scenario_51,-17.5827,17.5827,14.000000000000002,100,-0.11695800000000002,0.5291335455591528,-0.49920000000000003,4.9506
scenario_52,-17.646800000000002,17.646800000000002,13.0,100,0.266535,4.257345843935515,-0.5025999999999999,42.5852
scenario_53,-15.508400000000002,15.508400000000002,9.0,100,-0.15316600000000002,0.09848892955048298,-0.38370000000000004,0.11030000000000001
scenario_54,-15.3747,15.3747,13.0,100,-0.151062,0.10041465309405793,-0.38339999999999996,0.15089999999999998
scenario_55,-15.0913,15.0913,15.0,100,-0.146147,0.10551757716608166,-0.383,0.2562
scenario_56,-14.9869,14.9869,12.0,100,-0.14361000000000002,0.10980431002469802,-0.38370000000000004,0.3219
scenario_57,-15.263100000000001,15.263100000000001,12.0,100,-0.150311,0.0980440042990901,-0.3929,0.1486
scenario_58,-15.259300000000001,15.259300000000001,12.0,100,-0.14994700000000002,0.09909158032345634,-0.388,0.15729999999999994
scenario_59,-15.161900000000001,15.161900000000001,12.0,100,-0.14771900000000002,0.10282799783619245,-0.3801,0.23499999999999993
scenario_6,-20.974700000000002,20.974700000000002,13.0,100,-0.19232600000000002,0.2803689403696493,-1.8295,1.3780000000000001
scenario_60,-15.0577,15.0577,12.0,100,-0.146225,0.10426558912220273,-0.3765,0.25249999999999995
scenario_61,-15.425600000000001,15.425600000000001,11.0,100,-0.152924,0.09595808264028623,-0.393,0.08149999999999996
scenario_62,-15.330900000000002,15.330900000000002,14.000000000000002,100,-0.15127900000000002,0.09769012569855767,-0.3925,0.12569999999999998
scenario_63,-15.4762,15.4762,15.0,100,-0.153057,0.0970897000252859,-0.3887,0.10520000000000002
scenario_64,-15.363400000000002,15.363400000000002,11.0,100,-0.15126,0.09883499380280245,-0.3883,0.1315
scenario_65,-14.815100000000001,14.815100000000001,15.0,100,-0.13989700000000002,0.11722462322822795,-0.3787,0.4289
scenario_66,-14.9448,14.9448,14.000000000000002,100,-0.142794,0.11147470369550215,-0.376,0.3483
scenario_67,-14.898000000000001,14.898000000000001,14.000000000000002,100,-0.14165,0.11384370118719789,-0.3798,0.38230000000000003
scenario_68,-15.042900000000001,15.042900000000001,16.0,100,-0.14477900000000002,0.1079674435142372,-0.3795,0.293
scenario_7,-17.7863,17.7863,14.000000000000002,100,1.7451750000000001,19.070231927396037,-0.5099,191.48610000000002
scenario_8,-19.0027,19.0027,12.0,100,-0.18047600000000003,0.1742544771992961,-0.9893000000000001,0.5927
scenario_9,-20.1472,20.1472,14.000000000000002,100,-0.176325,0.2925142948216377,-1.9074,1.4432
